Node;Centrality Degree
213;0.002670
468;0.002670
418;0.002670
599;0.002706
542;0.002789
474;0.002789
502;0.002861
203;0.002861
518;0.002903
306;0.002903
566;0.002903
435;0.002999
535;0.002999
456;0.002999
183;0.003082
637;0.003130
298;0.003130
211;0.003130
554;0.003180
488;0.003180
594;0.003231
328;0.003241
413;0.003241
168;0.003339
414;0.003350
343;0.003373
405;0.003384
633;0.003396
561;0.003396
162;0.003396
287;0.003396
299;0.003454
597;0.003478
195;0.003478
514;0.003478
546;0.003478
588;0.003515
382;0.003527
340;0.003527
341;0.003527
319;0.003527
612;0.003527
389;0.003643
131;0.003643
636;0.003643
244;0.003656
337;0.003656
301;0.003656
280;0.003683
579;0.003683
448;0.003683
569;0.003697
285;0.003697
401;0.003697
603;0.003697
492;0.003697
487;0.003697
536;0.003697
460;0.003697
531;0.003711
78;0.003711
159;0.003711
259;0.003781
548;0.003810
217;0.003810
453;0.003810
170;0.003810
440;0.003839
423;0.003854
394;0.003854
627;0.003854
396;0.003868
452;0.003868
445;0.003868
265;0.003868
268;0.003868
410;0.003868
622;0.003868
353;0.003868
590;0.003883
551;0.003914
507;0.003976
624;0.003976
455;0.003976
570;0.003976
526;0.004008
601;0.004008
465;0.004008
493;0.004008
578;0.004008
349;0.004008
236;0.004008
463;0.004008
613;0.004008
563;0.004008
125;0.004008
568;0.004008
494;0.004024
192;0.004024
175;0.004024
297;0.004024
290;0.004024
497;0.004024
582;0.004024
556;0.004024
247;0.004024
557;0.004024
584;0.004040
330;0.004057
241;0.004057
245;0.004057
555;0.004073
404;0.004073
174;0.004073
379;0.004073
607;0.004073
398;0.004073
426;0.004090
72;0.004090
146;0.004090
583;0.004090
591;0.004090
202;0.004175
430;0.004193
609;0.004193
495;0.004193
540;0.004211
619;0.004211
312;0.004211
491;0.004211
553;0.004211
179;0.004211
75;0.004211
510;0.004211
617;0.004211
562;0.004228
143;0.004246
327;0.004264
625;0.004264
284;0.004264
390;0.004264
431;0.004264
505;0.004264
484;0.004264
368;0.004283
270;0.004283
176;0.004283
600;0.004283
364;0.004283
101;0.004283
278;0.004283
593;0.004301
503;0.004301
565;0.004301
332;0.004338
605;0.004415
475;0.004415
461;0.004415
408;0.004415
615;0.004415
517;0.004415
572;0.004415
620;0.004415
358;0.004415
273;0.004415
363;0.004454
242;0.004454
451;0.004454
564;0.004454
235;0.004454
216;0.004454
447;0.004454
249;0.004454
623;0.004454
498;0.004454
121;0.004454
123;0.004454
303;0.004454
365;0.004454
302;0.004454
250;0.004474
558;0.004474
231;0.004474
222;0.004474
437;0.004474
246;0.004474
355;0.004474
205;0.004474
276;0.004474
417;0.004474
178;0.004474
160;0.004474
145;0.004474
293;0.004474
630;0.004494
388;0.004494
140;0.004515
289;0.004515
604;0.004515
391;0.004515
111;0.004515
271;0.004515
133;0.004515
359;0.004515
386;0.004515
372;0.004535
501;0.004535
614;0.004535
611;0.004535
324;0.004535
149;0.004535
110;0.004535
152;0.004535
415;0.004556
57;0.004556
367;0.004662
198;0.004662
316;0.004684
434;0.004684
443;0.004684
321;0.004684
458;0.004684
380;0.004684
547;0.004684
385;0.004706
361;0.004706
59;0.004706
226;0.004706
454;0.004706
279;0.004706
142;0.004706
483;0.004706
315;0.004706
269;0.004706
635;0.004706
215;0.004706
409;0.004706
499;0.004706
257;0.004706
225;0.004706
606;0.004706
325;0.004728
427;0.004728
406;0.004728
539;0.004728
529;0.004728
450;0.004728
580;0.004728
117;0.004751
402;0.004773
464;0.004773
310;0.004773
197;0.004773
239;0.004773
399;0.004773
264;0.004773
331;0.004773
219;0.004773
333;0.004773
634;0.004773
525;0.004773
509;0.004773
147;0.004796
592;0.004796
393;0.004796
70;0.004796
528;0.004796
260;0.004796
428;0.004796
252;0.004819
471;0.004819
473;0.004819
411;0.004866
513;0.004866
350;0.004866
530;0.004866
381;0.004866
515;0.004866
429;0.004866
587;0.004866
311;0.004866
201;0.004866
253;0.004866
567;0.004914
370;0.004963
482;0.004963
549;0.004963
348;0.004963
467;0.004963
395;0.004963
506;0.004963
550;0.004963
524;0.004963
229;0.004963
626;0.004963
251;0.004963
224;0.004963
419;0.004963
441;0.004963
356;0.004963
519;0.004963
387;0.004963
182;0.005013
108;0.005013
207;0.005013
210;0.005013
98;0.005013
618;0.005013
61;0.005013
296;0.005013
533;0.005013
85;0.005038
91;0.005038
292;0.005038
223;0.005038
490;0.005038
157;0.005038
139;0.005038
137;0.005038
421;0.005038
621;0.005038
351;0.005063
323;0.005063
479;0.005063
496;0.005063
317;0.005089
305;0.005089
113;0.005089
362;0.005089
48;0.005089
97;0.005089
103;0.005089
47;0.005115
378;0.005115
66;0.005115
267;0.005141
544;0.005195
194;0.005277
602;0.005277
208;0.005277
366;0.005305
369;0.005305
346;0.005305
126;0.005305
639;0.005305
628;0.005305
156;0.005305
161;0.005305
167;0.005305
442;0.005305
373;0.005305
190;0.005305
181;0.005333
40;0.005333
438;0.005333
520;0.005333
261;0.005333
392;0.005333
275;0.005333
516;0.005333
357;0.005333
58;0.005333
354;0.005333
352;0.005333
138;0.005333
99;0.005333
375;0.005333
377;0.005362
318;0.005362
512;0.005362
233;0.005362
81;0.005362
581;0.005362
209;0.005362
199;0.005362
523;0.005362
186;0.005362
62;0.005391
172;0.005420
631;0.005420
212;0.005420
425;0.005420
189;0.005420
163;0.005420
150;0.005420
134;0.005450
116;0.005450
228;0.005450
322;0.005450
433;0.005450
532;0.005479
403;0.005479
255;0.005479
96;0.005479
180;0.005479
610;0.005479
129;0.005540
420;0.005540
283;0.005540
466;0.005540
234;0.005540
114;0.005540
291;0.005540
552;0.005540
313;0.005540
326;0.005540
240;0.005540
153;0.005540
274;0.005540
336;0.005540
537;0.005540
92;0.005540
543;0.005571
374;0.005571
329;0.005602
573;0.005602
469;0.005602
400;0.005602
371;0.005602
130;0.005666
135;0.005666
462;0.005666
230;0.005666
480;0.005666
534;0.005666
154;0.005666
90;0.005666
100;0.005666
412;0.005666
345;0.005666
407;0.005666
314;0.005666
424;0.005666
263;0.005666
522;0.005731
576;0.005731
571;0.005731
470;0.005731
560;0.005731
171;0.005731
586;0.005731
30;0.005731
335;0.005731
120;0.005731
45;0.005731
68;0.005764
105;0.005764
112;0.005764
360;0.005764
449;0.005764
446;0.005764
218;0.005764
472;0.005764
478;0.005797
148;0.005797
436;0.005797
577;0.005797
227;0.005797
18;0.005831
22;0.005831
88;0.005865
338;0.005900
282;0.005900
164;0.005900
308;0.005970
288;0.005970
541;0.006079
477;0.006079
527;0.006079
277;0.006079
508;0.006079
559;0.006079
191;0.006079
169;0.006079
595;0.006116
585;0.006116
42;0.006116
383;0.006116
83;0.006116
102;0.006116
122;0.006116
238;0.006116
376;0.006116
237;0.006116
136;0.006116
545;0.006116
457;0.006116
33;0.006154
256;0.006154
266;0.006154
166;0.006154
347;0.006154
107;0.006154
24;0.006154
459;0.006154
128;0.006154
56;0.006192
65;0.006192
52;0.006192
485;0.006192
115;0.006192
79;0.006192
46;0.006192
422;0.006192
521;0.006192
286;0.006192
416;0.006192
334;0.006192
158;0.006192
384;0.006270
64;0.006270
89;0.006309
598;0.006349
476;0.006349
63;0.006349
243;0.006349
504;0.006349
87;0.006349
196;0.006349
185;0.006349
54;0.006431
118;0.006431
106;0.006431
173;0.006431
184;0.006431
34;0.006431
200;0.006431
86;0.006431
221;0.006431
76;0.006431
165;0.006472
574;0.006515
320;0.006515
500;0.006515
489;0.006515
144;0.006515
214;0.006515
309;0.006515
41;0.006601
38;0.006601
67;0.006601
27;0.006601
177;0.006601
258;0.006601
339;0.006601
486;0.006689
84;0.006689
25;0.006689
575;0.006689
193;0.006689
204;0.006689
432;0.006689
12;0.006734
629;0.006780
44;0.006780
71;0.006780
104;0.006780
127;0.006780
187;0.006780
307;0.006780
37;0.006873
17;0.006920
344;0.007018
538;0.007018
281;0.007018
272;0.007018
109;0.007168
596;0.007168
608;0.007168
28;0.007168
80;0.007168
93;0.007168
141;0.007168
248;0.007168
397;0.007168
632;0.007168
19;0.007168
439;0.007168
155;0.007168
616;0.007168
132;0.007168
300;0.007220
232;0.007220
53;0.007220
36;0.007220
481;0.007220
206;0.007220
589;0.007220
254;0.007220
638;0.007220
119;0.007220
124;0.007273
95;0.007273
50;0.007326
220;0.007326
49;0.007326
69;0.007326
29;0.007326
304;0.007326
21;0.007326
74;0.007435
444;0.007547
294;0.007547
11;0.007547
295;0.007547
23;0.007547
32;0.007663
14;0.007663
3;0.007722
262;0.007782
26;0.007782
15;0.007905
20;0.007905
77;0.008032
35;0.008032
43;0.008032
7;0.008163
13;0.008299
94;0.008511
188;0.008511
39;0.008734
0;0.008734
151;0.008734
82;0.008734
511;0.008811
31;0.008811
51;0.008811
55;0.008811
73;0.008811
6;0.008811
16;0.008811
342;0.008811
60;0.008969
10;0.008969
4;0.009302
9;0.009662
1;0.010050
8;0.010811
5;0.011173
2;0.011299
