Node;Centrality Degree
539;0.013072
490;0.013423
279;0.013423
630;0.013514
445;0.013514
258;0.013699
542;0.013699
188;0.013699
626;0.013699
572;0.013986
255;0.013986
284;0.013986
478;0.013986
581;0.013986
332;0.013986
403;0.013986
406;0.014085
482;0.014085
618;0.014085
248;0.014085
532;0.014184
560;0.014286
612;0.014286
197;0.014286
603;0.014286
433;0.014286
518;0.014286
549;0.014286
244;0.014388
620;0.014388
457;0.014388
587;0.014388
398;0.014388
415;0.014388
578;0.014388
441;0.014388
414;0.014493
417;0.014493
589;0.014493
451;0.014493
459;0.014493
506;0.014493
335;0.014493
393;0.014599
269;0.014599
286;0.014599
318;0.014599
558;0.014599
497;0.014599
204;0.014599
629;0.014599
233;0.014599
540;0.014599
354;0.014706
488;0.014706
503;0.014706
460;0.014815
625;0.014815
479;0.014815
574;0.014815
173;0.014815
470;0.014815
310;0.014815
256;0.014815
311;0.014815
312;0.014815
538;0.014815
553;0.014815
635;0.014815
322;0.014815
621;0.014925
481;0.014925
550;0.014925
303;0.014925
301;0.014925
544;0.014925
388;0.014925
585;0.014925
496;0.014925
429;0.014925
105;0.015038
546;0.015038
180;0.015038
556;0.015038
557;0.015038
512;0.015038
128;0.015038
364;0.015038
592;0.015038
362;0.015038
474;0.015038
353;0.015038
418;0.015038
609;0.015038
448;0.015038
355;0.015038
115;0.015152
507;0.015152
200;0.015152
508;0.015152
440;0.015152
443;0.015152
397;0.015152
564;0.015152
543;0.015152
407;0.015152
155;0.015152
548;0.015152
315;0.015152
577;0.015152
220;0.015267
515;0.015267
434;0.015267
559;0.015267
219;0.015267
600;0.015267
601;0.015267
192;0.015267
447;0.015267
462;0.015267
148;0.015267
622;0.015267
492;0.015267
634;0.015267
563;0.015267
520;0.015267
94;0.015267
387;0.015267
382;0.015267
569;0.015267
583;0.015267
524;0.015267
352;0.015385
290;0.015385
292;0.015385
182;0.015385
74;0.015385
528;0.015385
623;0.015385
313;0.015385
316;0.015385
359;0.015385
436;0.015385
136;0.015385
196;0.015385
302;0.015504
455;0.015504
274;0.015504
264;0.015504
218;0.015504
463;0.015504
346;0.015504
252;0.015504
501;0.015504
638;0.015504
514;0.015504
525;0.015504
416;0.015504
491;0.015504
53;0.015504
122;0.015504
141;0.015504
409;0.015625
50;0.015625
380;0.015625
300;0.015625
535;0.015625
249;0.015625
150;0.015625
324;0.015625
527;0.015625
371;0.015625
152;0.015625
287;0.015625
366;0.015625
365;0.015625
234;0.015625
590;0.015625
435;0.015748
223;0.015748
288;0.015748
611;0.015748
464;0.015748
456;0.015748
273;0.015748
91;0.015748
484;0.015748
604;0.015748
72;0.015748
79;0.015748
605;0.015748
633;0.015748
241;0.015748
573;0.015748
368;0.015748
172;0.015748
632;0.015748
422;0.015748
575;0.015748
307;0.015748
606;0.015873
266;0.015873
298;0.015873
201;0.015873
510;0.015873
357;0.015873
337;0.015873
333;0.015873
483;0.015873
372;0.015873
326;0.015873
580;0.015873
185;0.015873
229;0.015873
296;0.015873
505;0.015873
276;0.015873
495;0.015873
351;0.016000
531;0.016000
596;0.016000
523;0.016000
389;0.016000
289;0.016000
103;0.016000
519;0.016000
306;0.016000
189;0.016000
608;0.016000
472;0.016000
162;0.016000
207;0.016000
624;0.016000
616;0.016000
494;0.016000
138;0.016000
181;0.016000
171;0.016129
142;0.016129
570;0.016129
413;0.016129
208;0.016129
317;0.016129
402;0.016129
568;0.016129
373;0.016129
384;0.016129
396;0.016129
386;0.016129
278;0.016129
392;0.016129
628;0.016129
321;0.016129
108;0.016129
467;0.016129
336;0.016129
547;0.016129
486;0.016129
476;0.016129
437;0.016129
511;0.016129
314;0.016129
602;0.016129
375;0.016129
615;0.016260
425;0.016260
521;0.016260
595;0.016260
348;0.016260
222;0.016260
13;0.016260
374;0.016260
327;0.016260
593;0.016260
513;0.016260
522;0.016260
458;0.016260
69;0.016260
190;0.016260
262;0.016260
121;0.016260
619;0.016260
291;0.016393
90;0.016393
87;0.016393
576;0.016393
586;0.016393
330;0.016393
226;0.016393
599;0.016393
582;0.016393
238;0.016393
426;0.016393
551;0.016393
449;0.016393
134;0.016393
250;0.016393
334;0.016393
554;0.016393
260;0.016393
591;0.016393
588;0.016393
151;0.016393
325;0.016393
516;0.016393
285;0.016393
485;0.016529
175;0.016529
228;0.016529
517;0.016529
320;0.016529
76;0.016529
149;0.016529
158;0.016529
394;0.016529
46;0.016529
446;0.016529
125;0.016529
420;0.016529
419;0.016529
242;0.016529
411;0.016529
529;0.016529
454;0.016529
206;0.016529
277;0.016529
391;0.016529
465;0.016529
282;0.016529
584;0.016529
43;0.016529
293;0.016529
225;0.016529
379;0.016529
305;0.016529
477;0.016529
430;0.016667
160;0.016667
75;0.016667
636;0.016667
444;0.016667
487;0.016667
421;0.016667
367;0.016667
450;0.016667
51;0.016667
509;0.016667
631;0.016667
62;0.016667
469;0.016667
383;0.016667
66;0.016667
214;0.016667
257;0.016667
118;0.016667
112;0.016667
265;0.016667
267;0.016667
566;0.016667
240;0.016667
537;0.016667
86;0.016667
338;0.016667
145;0.016667
345;0.016667
473;0.016807
114;0.016807
526;0.016807
404;0.016807
153;0.016807
399;0.016807
271;0.016807
231;0.016807
221;0.016807
217;0.016807
339;0.016807
195;0.016807
198;0.016807
328;0.016807
541;0.016807
147;0.016949
261;0.016949
54;0.016949
194;0.016949
83;0.016949
356;0.016949
504;0.016949
466;0.016949
270;0.016949
237;0.016949
598;0.016949
199;0.016949
309;0.016949
378;0.016949
211;0.016949
571;0.016949
452;0.016949
534;0.016949
295;0.016949
65;0.016949
215;0.016949
216;0.016949
176;0.017094
349;0.017094
178;0.017094
246;0.017094
432;0.017094
205;0.017094
224;0.017094
164;0.017094
254;0.017094
144;0.017094
49;0.017094
161;0.017094
116;0.017094
84;0.017094
68;0.017094
361;0.017094
297;0.017094
64;0.017094
104;0.017094
358;0.017094
341;0.017094
107;0.017094
281;0.017094
109;0.017094
410;0.017094
113;0.017094
347;0.017094
135;0.017241
253;0.017241
27;0.017241
489;0.017241
174;0.017241
102;0.017241
424;0.017241
545;0.017241
230;0.017241
412;0.017241
395;0.017241
232;0.017241
610;0.017241
498;0.017241
156;0.017241
370;0.017241
377;0.017391
536;0.017391
203;0.017391
614;0.017391
24;0.017391
71;0.017391
493;0.017391
193;0.017391
81;0.017391
331;0.017391
471;0.017391
67;0.017391
294;0.017391
133;0.017391
502;0.017391
405;0.017391
280;0.017391
154;0.017391
