Node;Centrality Degree
104;0.04878048780487805
139;0.04878048780487805
258;0.04878048780487805
366;0.04878048780487805
368;0.04878048780487805
378;0.04878048780487805
395;0.04878048780487805
404;0.04878048780487805
420;0.04878048780487805
526;0.04878048780487805
572;0.04878048780487805
590;0.04878048780487805
592;0.04878048780487805
643;0.04878048780487805
727;0.04878048780487805
738;0.04878048780487805
831;0.04878048780487805
904;0.04878048780487805
1064;0.04878048780487805
1094;0.04878048780487805
1175;0.04878048780487805
1182;0.04878048780487805
1212;0.04878048780487805
1224;0.04878048780487805
3;0.05
7;0.05
9;0.05
14;0.05
15;0.05
16;0.05
21;0.05
29;0.05
39;0.05
40;0.05
43;0.05
44;0.05
48;0.05
54;0.05
59;0.05
60;0.05
62;0.05
67;0.05
68;0.05
71;0.05
73;0.05
74;0.05
75;0.05
78;0.05
81;0.05
86;0.05
88;0.05
92;0.05
94;0.05
108;0.05
114;0.05
120;0.05
124;0.05
125;0.05
128;0.05
134;0.05
137;0.05
140;0.05
147;0.05
149;0.05
151;0.05
156;0.05
160;0.05
166;0.05
167;0.05
172;0.05
176;0.05
178;0.05
179;0.05
182;0.05
186;0.05
189;0.05
198;0.05
201;0.05
207;0.05
216;0.05
222;0.05
227;0.05
236;0.05
238;0.05
240;0.05
244;0.05
249;0.05
250;0.05
255;0.05
256;0.05
270;0.05
273;0.05
277;0.05
278;0.05
280;0.05
281;0.05
288;0.05
294;0.05
301;0.05
303;0.05
307;0.05
311;0.05
313;0.05
323;0.05
330;0.05
334;0.05
338;0.05
345;0.05
346;0.05
347;0.05
349;0.05
350;0.05
352;0.05
353;0.05
354;0.05
358;0.05
359;0.05
362;0.05
364;0.05
370;0.05
372;0.05
373;0.05
374;0.05
376;0.05
388;0.05
389;0.05
401;0.05
408;0.05
410;0.05
411;0.05
414;0.05
415;0.05
418;0.05
425;0.05
432;0.05
433;0.05
434;0.05
437;0.05
439;0.05
441;0.05
442;0.05
445;0.05
447;0.05
453;0.05
456;0.05
459;0.05
460;0.05
461;0.05
463;0.05
471;0.05
473;0.05
474;0.05
477;0.05
483;0.05
492;0.05
494;0.05
502;0.05
512;0.05
518;0.05
524;0.05
525;0.05
530;0.05
531;0.05
532;0.05
544;0.05
550;0.05
558;0.05
562;0.05
563;0.05
564;0.05
576;0.05
582;0.05
583;0.05
586;0.05
587;0.05
591;0.05
604;0.05
606;0.05
608;0.05
611;0.05
613;0.05
615;0.05
625;0.05
627;0.05
634;0.05
652;0.05
653;0.05
661;0.05
662;0.05
667;0.05
675;0.05
676;0.05
679;0.05
688;0.05
693;0.05
703;0.05
716;0.05
720;0.05
721;0.05
739;0.05
744;0.05
748;0.05
756;0.05
757;0.05
766;0.05
767;0.05
769;0.05
770;0.05
772;0.05
775;0.05
776;0.05
777;0.05
785;0.05
788;0.05
789;0.05
791;0.05
795;0.05
802;0.05
806;0.05
807;0.05
820;0.05
838;0.05
840;0.05
845;0.05
847;0.05
851;0.05
852;0.05
853;0.05
854;0.05
856;0.05
858;0.05
863;0.05
865;0.05
869;0.05
871;0.05
881;0.05
882;0.05
889;0.05
890;0.05
894;0.05
896;0.05
897;0.05
905;0.05
911;0.05
912;0.05
913;0.05
915;0.05
917;0.05
923;0.05
929;0.05
931;0.05
936;0.05
942;0.05
946;0.05
947;0.05
950;0.05
951;0.05
954;0.05
957;0.05
959;0.05
974;0.05
979;0.05
990;0.05
993;0.05
996;0.05
997;0.05
1000;0.05
1005;0.05
1007;0.05
1017;0.05
1019;0.05
1031;0.05
1032;0.05
1033;0.05
1036;0.05
1040;0.05
1043;0.05
1053;0.05
1055;0.05
1065;0.05
1075;0.05
1076;0.05
1081;0.05
1082;0.05
1085;0.05
1099;0.05
1100;0.05
1104;0.05
1106;0.05
1111;0.05
1118;0.05
1119;0.05
1124;0.05
1126;0.05
1128;0.05
1130;0.05
1136;0.05
1137;0.05
1138;0.05
1140;0.05
1142;0.05
1143;0.05
1145;0.05
1147;0.05
1149;0.05
1152;0.05
1154;0.05
1158;0.05
1159;0.05
1167;0.05
1172;0.05
1177;0.05
1181;0.05
1184;0.05
1186;0.05
1193;0.05
1195;0.05
1198;0.05
1199;0.05
1202;0.05
1203;0.05
1218;0.05
1220;0.05
1223;0.05
1225;0.05
1229;0.05
1232;0.05
1238;0.05
1255;0.05
1264;0.05
1265;0.05
1270;0.05
1273;0.05
1275;0.05
1276;0.05
2;0.05128205128205128
4;0.05128205128205128
5;0.05128205128205128
6;0.05128205128205128
8;0.05128205128205128
11;0.05128205128205128
18;0.05128205128205128
19;0.05128205128205128
20;0.05128205128205128
22;0.05128205128205128
24;0.05128205128205128
27;0.05128205128205128
31;0.05128205128205128
32;0.05128205128205128
35;0.05128205128205128
41;0.05128205128205128
42;0.05128205128205128
46;0.05128205128205128
47;0.05128205128205128
49;0.05128205128205128
50;0.05128205128205128
51;0.05128205128205128
53;0.05128205128205128
55;0.05128205128205128
61;0.05128205128205128
63;0.05128205128205128
64;0.05128205128205128
72;0.05128205128205128
79;0.05128205128205128
89;0.05128205128205128
95;0.05128205128205128
97;0.05128205128205128
106;0.05128205128205128
107;0.05128205128205128
111;0.05128205128205128
113;0.05128205128205128
115;0.05128205128205128
118;0.05128205128205128
119;0.05128205128205128
121;0.05128205128205128
122;0.05128205128205128
127;0.05128205128205128
131;0.05128205128205128
132;0.05128205128205128
138;0.05128205128205128
141;0.05128205128205128
143;0.05128205128205128
152;0.05128205128205128
155;0.05128205128205128
157;0.05128205128205128
158;0.05128205128205128
162;0.05128205128205128
163;0.05128205128205128
170;0.05128205128205128
171;0.05128205128205128
173;0.05128205128205128
177;0.05128205128205128
180;0.05128205128205128
183;0.05128205128205128
184;0.05128205128205128
191;0.05128205128205128
194;0.05128205128205128
196;0.05128205128205128
197;0.05128205128205128
199;0.05128205128205128
202;0.05128205128205128
205;0.05128205128205128
206;0.05128205128205128
208;0.05128205128205128
209;0.05128205128205128
212;0.05128205128205128
218;0.05128205128205128
221;0.05128205128205128
223;0.05128205128205128
225;0.05128205128205128
226;0.05128205128205128
229;0.05128205128205128
234;0.05128205128205128
239;0.05128205128205128
242;0.05128205128205128
243;0.05128205128205128
247;0.05128205128205128
248;0.05128205128205128
252;0.05128205128205128
254;0.05128205128205128
257;0.05128205128205128
260;0.05128205128205128
263;0.05128205128205128
264;0.05128205128205128
267;0.05128205128205128
268;0.05128205128205128
269;0.05128205128205128
271;0.05128205128205128
272;0.05128205128205128
274;0.05128205128205128
275;0.05128205128205128
276;0.05128205128205128
285;0.05128205128205128
286;0.05128205128205128
287;0.05128205128205128
296;0.05128205128205128
297;0.05128205128205128
302;0.05128205128205128
305;0.05128205128205128
306;0.05128205128205128
309;0.05128205128205128
310;0.05128205128205128
314;0.05128205128205128
317;0.05128205128205128
318;0.05128205128205128
319;0.05128205128205128
325;0.05128205128205128
326;0.05128205128205128
327;0.05128205128205128
329;0.05128205128205128
331;0.05128205128205128
333;0.05128205128205128
337;0.05128205128205128
340;0.05128205128205128
343;0.05128205128205128
344;0.05128205128205128
348;0.05128205128205128
351;0.05128205128205128
356;0.05128205128205128
357;0.05128205128205128
363;0.05128205128205128
371;0.05128205128205128
377;0.05128205128205128
381;0.05128205128205128
390;0.05128205128205128
392;0.05128205128205128
394;0.05128205128205128
397;0.05128205128205128
402;0.05128205128205128
407;0.05128205128205128
409;0.05128205128205128
