Node;Centrality Degree
351;0.166667
381;0.166667
380;0.166667
378;0.166667
377;0.166667
374;0.166667
373;0.166667
371;0.166667
367;0.166667
363;0.166667
360;0.166667
356;0.166667
354;0.166667
352;0.166667
383;0.166667
350;0.166667
349;0.166667
344;0.166667
339;0.166667
337;0.166667
335;0.166667
333;0.166667
328;0.166667
326;0.166667
325;0.166667
324;0.166667
321;0.166667
404;0.166667
431;0.166667
429;0.166667
425;0.166667
422;0.166667
418;0.166667
417;0.166667
415;0.166667
414;0.166667
413;0.166667
411;0.166667
410;0.166667
409;0.166667
408;0.166667
319;0.166667
401;0.166667
400;0.166667
399;0.166667
398;0.166667
393;0.166667
392;0.166667
391;0.166667
390;0.166667
388;0.166667
387;0.166667
385;0.166667
384;0.166667
246;0.166667
276;0.166667
274;0.166667
273;0.166667
272;0.166667
271;0.166667
268;0.166667
266;0.166667
263;0.166667
262;0.166667
258;0.166667
255;0.166667
250;0.166667
247;0.166667
277;0.166667
245;0.166667
243;0.166667
242;0.166667
241;0.166667
240;0.166667
239;0.166667
237;0.166667
234;0.166667
233;0.166667
229;0.166667
227;0.166667
217;0.166667
300;0.166667
318;0.166667
317;0.166667
316;0.166667
315;0.166667
314;0.166667
313;0.166667
312;0.166667
310;0.166667
308;0.166667
305;0.166667
304;0.166667
302;0.166667
432;0.166667
294;0.166667
292;0.166667
291;0.166667
290;0.166667
289;0.166667
288;0.166667
286;0.166667
285;0.166667
283;0.166667
282;0.166667
280;0.166667
278;0.166667
555;0.166667
579;0.166667
578;0.166667
576;0.166667
575;0.166667
572;0.166667
570;0.166667
569;0.166667
568;0.166667
566;0.166667
563;0.166667
561;0.166667
558;0.166667
556;0.166667
585;0.166667
553;0.166667
552;0.166667
548;0.166667
544;0.166667
541;0.166667
537;0.166667
536;0.166667
534;0.166667
532;0.166667
528;0.166667
527;0.166667
526;0.166667
611;0.166667
639;0.166667
638;0.166667
636;0.166667
630;0.166667
626;0.166667
624;0.166667
623;0.166667
621;0.166667
618;0.166667
617;0.166667
614;0.166667
613;0.166667
612;0.166667
525;0.166667
610;0.166667
608;0.166667
607;0.166667
606;0.166667
605;0.166667
604;0.166667
599;0.166667
596;0.166667
595;0.166667
593;0.166667
591;0.166667
590;0.166667
457;0.166667
481;0.166667
479;0.166667
478;0.166667
476;0.166667
475;0.166667
473;0.166667
468;0.166667
466;0.166667
465;0.166667
464;0.166667
461;0.166667
460;0.166667
458;0.166667
483;0.166667
456;0.166667
455;0.166667
450;0.166667
448;0.166667
447;0.166667
446;0.166667
445;0.166667
444;0.166667
442;0.166667
438;0.166667
434;0.166667
433;0.166667
504;0.166667
524;0.166667
520;0.166667
518;0.166667
514;0.166667
513;0.166667
512;0.166667
511;0.166667
509;0.166667
508;0.166667
507;0.166667
506;0.166667
505;0.166667
320;0.166667
503;0.166667
502;0.166667
501;0.166667
500;0.166667
498;0.166667
495;0.166667
494;0.166667
493;0.166667
491;0.166667
490;0.166667
488;0.166667
486;0.166667
106;0.166667
30;0.166667
11;0.166667
146;0.166667
75;0.166667
104;0.166667
178;0.166667
10;0.166667
31;0.166667
72;0.166667
9;0.166667
184;0.166667
185;0.166667
174;0.166667
186;0.166667
107;0.166667
108;0.166667
65;0.166667
190;0.166667
191;0.166667
63;0.166667
7;0.166667
6;0.166667
62;0.166667
142;0.166667
60;0.166667
99;0.166667
94;0.166667
92;0.166667
91;0.166667
153;0.166667
156;0.166667
90;0.166667
89;0.166667
17;0.166667
87;0.166667
86;0.166667
164;0.166667
165;0.166667
64;0.166667
100;0.166667
83;0.166667
82;0.166667
101;0.166667
102;0.166667
150;0.166667
29;0.166667
149;0.166667
79;0.166667
147;0.166667
78;0.166667
48;0.166667
52;0.166667
3;0.166667
201;0.166667
111;0.166667
120;0.166667
119;0.166667
50;0.166667
25;0.166667
118;0.166667
200;0.166667
208;0.166667
113;0.166667
209;0.166667
210;0.166667
128;0.166667
37;0.166667
115;0.166667
129;0.166667
110;0.166667
56;0.166667
34;0.166667
4;0.166667
140;0.166667
139;0.166667
122;0.166667
55;0.166667
22;0.166667
33;0.166667
141;0.166667
138;0.166667
449;0.181818
584;0.181818
412;0.181818
96;0.181818
95;0.181818
403;0.181818
121;0.181818
588;0.181818
97;0.181818
451;0.181818
452;0.181818
453;0.181818
405;0.181818
112;0.181818
407;0.181818
454;0.181818
439;0.181818
428;0.181818
27;0.181818
586;0.181818
426;0.181818
81;0.181818
105;0.181818
435;0.181818
436;0.181818
437;0.181818
424;0.181818
423;0.181818
116;0.181818
440;0.181818
421;0.181818
441;0.181818
420;0.181818
103;0.181818
419;0.181818
109;0.181818
443;0.181818
416;0.181818
114;0.181818
53;0.181818
47;0.181818
36;0.181818
567;0.181818
533;0.181818
531;0.181818
35;0.181818
529;0.181818
51;0.181818
539;0.181818
54;0.181818
523;0.181818
522;0.181818
519;0.181818
57;0.181818
571;0.181818
515;0.181818
44;0.181818
557;0.181818
40;0.181818
41;0.181818
554;0.181818
42;0.181818
551;0.181818
550;0.181818
560;0.181818
32;0.181818
38;0.181818
546;0.181818
545;0.181818
562;0.181818
543;0.181818
542;0.181818
564;0.181818
580;0.181818
485;0.181818
484;0.181818
482;0.181818
386;0.181818
480;0.181818
477;0.181818
84;0.181818
474;0.181818
577;0.181818
471;0.181818
470;0.181818
581;0.181818
582;0.181818
463;0.181818
462;0.181818
459;0.181818
574;0.181818
59;0.181818
61;0.181818
510;0.181818
66;0.181818
67;0.181818
68;0.181818
69;0.181818
573;0.181818
93;0.181818
499;0.181818
496;0.181818
73;0.181818
74;0.181818
492;0.181818
76;0.181818
77;0.181818
188;0.181818
177;0.181818
180;0.181818
287;0.181818
181;0.181818
182;0.181818
619;0.181818
620;0.181818
279;0.181818
187;0.181818
616;0.181818
8;0.181818
189;0.181818
622;0.181818
193;0.181818
194;0.181818
195;0.181818
196;0.181818
261;0.181818
15;0.181818
311;0.181818
169;0.181818
26;0.181818
170;0.181818
307;0.181818
306;0.181818
171;0.181818
172;0.181818
260;0.181818
14;0.181818
13;0.181818
299;0.181818
12;0.181818
615;0.181818
295;0.181818
175;0.181818
293;0.181818
225;0.181818
631;0.181818
236;0.181818
235;0.181818
232;0.181818
231;0.181818
230;0.181818
211;0.181818
228;0.181818
226;0.181818
207;0.181818
224;0.181818
633;0.181818
634;0.181818
635;0.181818
2;0.181818
213;0.181818
216;0.181818
214;0.181818
199;0.181818
628;0.181818
629;0.181818
257;0.181818
256;0.181818
254;0.181818
253;0.181818
252;0.181818
251;0.181818
309;0.181818
249;0.181818
