Code;Graph;Partition;Flag;Community computation;Nodes computation;GLR computation;Total
python;2expnode(n=5120, m=50000).graph;None;2expnode;0.24963177200000009;0.8107474530000001;19.468141122;19.469359796
python;2expnode(n=10240, m=50000).graph;None;2expnode;0.45754894599999996;2.5299740559999995;66.076159665;66.08145041899999
python;2expnode(n=640, m=50000).graph;None;2expnode;0.020754810999999984;0.05110052700000001;1.059859664;1.060017124
python;2expnode(n=40960, m=50000).graph;None;2expnode;0.7579634470000001;20.458903707;593.701867234;593.732502454
python;2expnode(n=2560, m=50000).graph;None;2expnode;0.02135854799999981;0.39414538599999993;7.8871212239999995;7.887536794000001
python;2expnode(n=1280, m=50000).graph;None;2expnode;0.05433388700000008;0.22464079800000003;1.6437770880000002;1.644040091
python;2expnode(n=20480, m=50000).graph;None;2expnode;0.5887729989999999;7.666712147;180.45103799700001;180.45745025699998
C++;2expnode(n=5120, m=50000).graph;None;2expnode;0.098596;0.346887;24.316008;24.316869
C++;2expnode(n=10240, m=50000).graph;None;2expnode;0.157833;0.589885;92.098535;92.100635
C++;2expnode(n=640, m=50000).graph;None;2expnode;0.007860;0.028810;1.196878;1.196962
C++;2expnode(n=40960, m=50000).graph;None;2expnode;0.405283;4.164222;508.249221;508.263089
C++;2expnode(n=2560, m=50000).graph;None;2expnode;0.018025;0.109507;9.405172;9.405775
C++;2expnode(n=1280, m=50000).graph;None;2expnode;0.017285;0.045819;1.559524;1.560086
C++;2expnode(n=20480, m=50000).graph;None;2expnode;0.244761;1.298041;376.281250;376.286212
